id,album,track,name
1,1,1,Welcome To New York
2,1,2,Blank Space
3,1,3,Style
4,1,4,Out Of The Woods
5,1,5,All You Had To Do Was Stay
6,1,6,Shake It Off
7,1,7,I Wish You Would
8,1,8,Bad Blood
9,1,9,Wildest Dreams
10,1,10,How You Get The Girl
11,1,11,This Love
12,1,12,I Know Places
13,1,13,Clean
14,1,14,Wonderland
15,1,15,You Are In Love
16,1,16,New Romantics
17,2,1,...Ready For It?
18,2,2,End Game
19,2,3,I Did Something Bad
20,2,4,Don't Blame Me
21,2,5,Delicate
22,2,6,Look What You Made Me Do
23,2,7,So It Goes...
24,2,8,Gorgeous
25,2,9,Getaway Car
26,2,10,King Of My Heart
27,2,11,Dancing With Our Hands Tied
28,2,12,Dress
29,2,13,This Is Why We Can't Have Nice Things
30,2,14,Call It What You Want
31,2,15,New Year's Day
